p/n,qty,avail,pkging,1,10,25,100,250,500,100,,2500
IDT5P49V5901B000NLGI,354 ,Active,Tray,11.23,10.103,9.2044,,,,,,
5P49V5901B000NLGI8,0,Active,Tape & Reel (TR),,,,,,,,,5.837
